Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total,Overall total
#date+year,#country+residence,#loc+name,#affected+f+children+age0_4,#affected+f+children+age5_11,#affected+f+children+age5_17,#affected+f+adolescents+age12_17,#affected+f+adults+age18_59,#affected+f+elderly+age60plus,#affected+f+other,#affected+f+total,#affected+m+children+age0_4,#affected+m+children+age5_11,#affected+m+children+age5_17,#affected+m+adolescents+age12_17,#affected+m+adults+age18_59,#affected+m+elderly+age60plus,#affected+m+other,#affected+m+total,#affected+all+total
2013,Colombia,Colombia : Dispersed in the country / territory,,,,,,,2739361,2739361,,,,,,,2628777,2628777,5368150
2013,Colombia,Cartagena : Point,,,,,1,1,,2,,,,,9,,,9,11
2013,Colombia,Cali : Point,,,,,1,,,1,,,,,2,1,,3,4
2013,Colombia,Buenaventura : Point,,1,,1,3,,,5,,,,2,1,,,3,8
2013,Colombia,Bucaramanga : Municipality,,,,,,,,0,,,,,,1,,1,1
2013,Colombia,Bogota : Capital district,5,8,,3,37,11,,64,5,3,,7,116,14,,145,209
2013,Colombia,Barranquilla,,,,,,1,,1,,,,,,,,0,1
2013,Colombia,Barcelona : Point,,,,2,1,,,3,,,,,1,,,1,4
2013,Colombia,Arauca,,3,,,1,,,4,1,,,,1,,,2,6
2014,Colombia,Arauca,1,1,,2,1,0,0,5,2,1,,0,2,0,0,5
2014,Colombia,Barcelona : Point,0,0,,0,0,0,0,0,0,0,,0,1,0,0,1
2014,Colombia,Barranquilla,0,0,,0,1,0,0,1,0,0,,0,0,0,0,0
2014,Colombia,Buenaventura : Point,0,0,,0,0,0,0,0,0,0,,0,2,0,0,2
2014,Colombia,Cali : Point,0,1,,1,3,0,0,5,0,2,,0,5,1,0,8
2014,Colombia,Cartagena : Point,0,0,,0,1,1,0,2,0,0,,0,9,0,0,9
2014,Colombia,Cúcuta : Point,1,1,,1,4,0,0,7,2,0,,2,17,1,0,22
2014,Colombia,Duitama : Point,0,0,,0,1,0,0,1,0,0,,0,1,0,0,1
2014,Colombia,Ibagué : Point,0,0,,0,1,0,0,1,0,0,,0,1,0,0,1
2014,Colombia,Maicao : Point,0,0,,0,1,0,0,1,1,0,,0,0,0,0,1
2014,Colombia,Medellín : Point,0,0,,0,1,1,0,2,1,0,,0,13,0,0,14
2014,Colombia,Pasto,0,0,,0,0,0,0,0,0,0,,0,2,0,0,2
2014,Colombia,Tuluá : Point,0,0,,0,0,0,0,0,0,0,,0,1,0,0,1
2014,Colombia,Turbo,0,0,,0,11,0,0,11,0,0,,0,60,0,0,60
2014,Colombia,Bogota : Capital district,6,4,,4,38,10,0,62,5,2,,5,121,15,0,148
2014,Colombia,Colombia : Dispersed in the country / territory,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2014,Colombia,Leticia : Municipality,0,0,,0,0,0,0,0,0,0,,0,1,0,0,1
2014,Colombia,Pereira : Municipality,0,0,,0,1,0,0,1,0,2,,0,2,0,0,4
2014,Colombia,San Andres Islas : Department,0,0,,0,2,0,0,2,0,0,,0,2,0,0,2
2014,Colombia,Tumaco : Municipality,0,1,,0,1,0,0,2,0,2,,0,0,0,0,2
2015,Colombia,Arauca,1,1,,1,2,,,5,2,1,,,2,,,5
2015,Colombia,Barcelona : Point,,,,,,,,0,,,,,1,,,1
2015,Colombia,Barranquilla,1,2,,,4,1,,8,,1,,,2,,,3
2015,Colombia,Bogota : Capital district,3,3,,4,37,10,,57,5,4,,7,132,13,,161
2015,Colombia,Buenaventura : Point,,,,,,,,0,,,,,2,,,2
2015,Colombia,C??cuta : Point,3,1,,,9,,,13,2,1,,4,13,1,,21
2015,Colombia,Cali : Point,,,,1,1,,,2,,,,,3,1,,4
2015,Colombia,Cartagena : Point,,2,,,4,1,,7,,1,,,14,,,15
2015,Colombia,Cartago,,,,2,1,,,3,1,1,,,,,,2
2015,Colombia,Colombia : Dispersed in the country / territory,1,2,,2,4,,,9,,2,,,3,,,5
2015,Colombia,Duitama : Point,,,,,1,,,1,,,,,,,,0
2015,Colombia,Ibagu?? : Point,,,,,1,,,1,,,,,1,,,1
2015,Colombia,Maicao : Point,,,,,1,,,1,1,,,,,,,1
2015,Colombia,Medell?¡n : Point,,,,,2,1,,3,,1,,1,8,,,10
2015,Colombia,Pasto,1,,,,1,,,2,,,,,1,,,1
2015,Colombia,Pereira : Municipality,,,,,1,,,1,,,,,1,,,1
2015,Colombia,San Andres Islas : Department,,,,,2,,,2,,,,,2,1,,3
2015,Colombia,Tulu?í : Point,,,,,,,,0,,,,,1,,,1
2015,Colombia,Tumaco : Municipality,,1,,,1,,,2,,2,,,,,,2
2015,Colombia,Villavicencio,,,,,1,,,1,,,,,1,,,1
2016,Colombia,Arauca,1,2,,1,5,,,9,2,2,,1,6,,,11
2016,Colombia,Barcelona : Point,,,,,,,,0,,,,,1,,,1
2016,Colombia,Barranquilla,,1,,,4,,,5,,1,,,1,,,2
2016,Colombia,Bogota : Capital district,10,17,,17,87,11,,142,15,10,,13,191,14,,243
2016,Colombia,Bucaramanga : Municipality,,,,,1,,,1,,,,,6,,,6
2016,Colombia,Buenaventura : Point,,,,,,,,0,,,,,2,,,2
2016,Colombia,C??cuta : Point,2,2,,2,19,1,,26,3,3,,2,24,1,,33
2016,Colombia,Cali : Point,,1,,1,2,,,4,,,,,6,2,,8
2016,Colombia,Cartagena : Point,,,,,3,1,,4,1,,,,12,,,13
2016,Colombia,Duitama : Point,,,,,,1,,1,,,,,,,,0
2016,Colombia,Ibagu?? : Point,,,,,4,,,4,,,,2,3,,,5
2016,Colombia,Icononzo,1,,,,1,,,2,,1,,,1,,,2
2016,Colombia,Leticia : Municipality,,,,,1,,,1,,,,,2,,,2
2016,Colombia,Maicao : Point,,,,,2,,,2,1,2,,,2,,,5
2016,Colombia,Medell?¡n : Point,1,,,,4,1,,6,,3,,2,11,,,16
2016,Colombia,Monteria,,,,,,,,0,,,,,1,,,1
2016,Colombia,Pamplona,,,,,1,,,1,,,,,,,,0
2016,Colombia,Pasto,1,,,,1,,,2,,,,,2,,,2
2016,Colombia,Pereira : Municipality,,,,,2,,,2,,,,,1,,,1
2016,Colombia,Puerto Legu?¡zamo,,,,,,,,0,,,,,1,,,1
2016,Colombia,San Andres Islas : Department,,,,,1,1,,2,,,,,3,1,,4
2016,Colombia,Tulu?â?í : Point,,,,,,,,0,,,,,1,,,1
2016,Colombia,Tulu?í : Point,,,,,,,,0,,,,,2,,,2
2016,Colombia,Tumaco : Municipality,,1,,,1,,,2,,1,,1,,,,2
2016,Colombia,Various,,,,,,,,0,,,,,6,,,6
2016,Colombia,Villavicencio,,,,,3,,,3,,,,,1,,,1
2016,Colombia,Villeta,,,,,1,,,1,,,,,1,,,1
2017,Colombia,Arauca,*,*,,*,*,,,5,*,*,,,*,,,5
2017,Colombia,Barcelona : Point,,,,,,,,0,,,,,*,,,*
2017,Colombia,Barranquilla,,*,,,6,,,9,,*,,,*,*,,5
2017,Colombia,Bogota : Capital district,*,*,,*,24,21,,56,6,*,,8,115,16,,149
2017,Colombia,Bosconia,,,,,,,,0,,,,,*,,,*
2017,Colombia,Buenaventura : Point,,,,,,,,0,,,,,*,*,,*
2017,Colombia,C??cuta : Point,*,*,,*,*,,,7,12,,,*,*,,,15
2017,Colombia,Cali : Point,,,,*,*,,,*,,,,,*,*,,5
2017,Colombia,Cartagena : Point,,,,,*,*,,*,,,,,9,,,9
2017,Colombia,Colombia : Dispersed in the country / territory,,,,,,,,0,,,,,,,,0
