Origin / Returned from,Country / territory of residence,Population type,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Colombia,Hungary,Refugees,*,1,1,1,1,1,1,1,,,,,,
Colombia,Hungary,Asylum seekers,,,,1,1,1,,,1,,,,,
Colombia,Iceland,Refugees,,,,6,,,,24,24,,,,,
Colombia,Iceland,Asylum seekers,,1,2,,,,,,,,,,,
Colombia,Ireland,Refugees,,1,1,1,1,1,1,1,1,1,1,,,
Colombia,Ireland,Asylum seekers,,,,,,,,,,2,,,,
Colombia,Islamic Republic of Iran,Returned refugees,,,,,,,,,,,,,,1
Colombia,Israel,Refugees,*,2,1,,,,,,1,1,7,7,7,2
Colombia,Israel,Asylum seekers,242,,242,265,190,192,103,40,38,,,15,15,2
Colombia,Italy,Refugees,408,373,387,426,411,399,388,322,148,120,114,103,69,23
Colombia,Italy,Asylum seekers,20,29,,19,,,,,,,,,,
Colombia,Japan,Asylum seekers,,,1,,,4,,2,,,0,,,
Colombia,Jordan,Asylum seekers,,,,2,,,,,,,,,,
Colombia,Latvia,Refugees,*,1,1,,,,,,,,,,,
Colombia,Latvia,Asylum seekers,,,,1,,,,,,,,,,
Colombia,Malta,Asylum seekers,,1,,,,,,,,,,,,
Colombia,Mexico,Refugees,255,247,252,233,210,178,147,99,63,55,48,114,94,61
Colombia,Mexico,Asylum seekers,68,37,51,30,18,,3,23,11,8,9,10,4,1
Colombia,Morocco,Asylum seekers,*,,,,,,,,,,,,,
Colombia,Netherlands,Refugees,281,295,300,307,306,295,186,317,341,110,85,35,31,22
Colombia,Netherlands,Asylum seekers,,15,15,50,59,,,104,233,97,30,44,43,26
Colombia,New Zealand,Refugees,14,17,32,36,34,33,33,26,31,30,25,21,5,
Colombia,New Zealand,Asylum seekers,,,1,2,3,2,,1,2,3,7,,,
Colombia,Nicaragua,Refugees,9,8,8,6,7,13,17,12,12,8,,,,
Colombia,Nicaragua,Asylum seekers,*,,,,,,,,,,9,8,2,
Colombia,Nicaragua,Returned refugees,,,,,,,,6,,,,1,,1
Colombia,Norway,Refugees,24,27,32,29,138,174,167,220,220,213,205,202,203,194
Colombia,Norway,Asylum seekers,5,,9,8,18,3,1,1,,,,,,
Colombia,Panama,Refugees,15957,15723,15598,15432,15299,15303,15904,1248,1137,1022,860,989,881,711
Colombia,Panama,Asylum seekers,288,85,475,217,537,531,473,211,405,245,67,54,25,52
Colombia,Panama,Returned refugees,,,,,,,,,,50,120,,,253
Colombia,Paraguay,Refugees,40,40,40,31,18,14,8,4,4,3,,,,
Colombia,Paraguay,Asylum seekers,,1,1,1,2,2,,,,1,,,,1
Colombia,Peru,Refugees,436,413,308,307,275,232,195,152,118,66,24,5,4,4
Colombia,Peru,Asylum seekers,320,210,253,143,285,463,384,359,288,191,125,92,44,
Colombia,Peru,Returned refugees,,,,,,,,,,,,,7,1
Colombia,Plurinational State of Bolivia,Refugees,178,168,148,127,110,97,67,45,20,13,13,3,3,3
Colombia,Plurinational State of Bolivia,Asylum seekers,*,8,17,33,33,19,38,16,,13,,9,1,
Colombia,Poland,Asylum seekers,,,1,,1,,2,,,,,,,
Colombia,Portugal,Refugees,77,76,71,63,51,37,19,,18,11,10,6,4,2
Colombia,Portugal,Asylum seekers,*,5,7,5,,,,,,,,,,
Colombia,Romania,Refugees,*,1,1,,,,,,,,,,,
Colombia,Romania,Asylum seekers,*,,,,,,,,2,1,1,,,
Colombia,South Africa,Asylum seekers,*,1,,,,,,,,,,,,
Colombia,Spain,Refugees,497,637,664,782,934,985,990,976,944,820,680,537,490,345
Colombia,Spain,Asylum seekers,28,50,,401,,,,,,,,,,
Colombia,Sweden,Refugees,55,60,105,186,237,244,285,1379,918,619,572,563,605,622
Colombia,Sweden,Asylum seekers,5,13,14,17,11,9,15,15,47,81,132,142,,
Colombia,Switzerland,Refugees,308,327,324,310,290,298,266,255,242,221,220,201,186,157
Colombia,Switzerland,Asylum seekers,16,18,14,27,27,26,23,23,14,18,8,34,45,48
Colombia,Syrian Arab Republic,Asylum seekers,,3,,4,4,4,,,,,,,,
